type,date,business,cost,category,year,monthno
Sale,10/8/2017,PACKARDS,13.5,Restaurants,2017,10
Sale,10/8/2017,TRADER JOE'S #508  QPS,21.94,GroceryStore,2017,10
Sale,10/11/2017,APL* ITUNES.COM/BILL,0.99,ShoppingOrEntertainment,2017,10
Sale,10/12/2017,DUNKIN #342612 Q35,2.56,Coffee,2017,10
Sale,10/12/2017,SQ *WOOBERRY - WORCESTER,5.91,Restaurants,2017,10
Sale,10/13/2017,H&amp;M0312,16.17,ShoppingOrEntertainment,2017,10
Sale,10/13/2017,STARBUCKS STORE 10274,5.62,Coffee,2017,10
Sale,10/13/2017,SQ *POKEMON-HAPPY FEET,34.95,ShoppingOrEntertainment,2017,10
Sale,10/13/2017,PRICE CHOPPER #148,13.07,GroceryStore,2017,10
Sale,10/14/2017,SAFECO INSURANCE CO,57.88,UtilitiesOrInsurance,2017,10
Sale,10/14/2017,BRATTLEBORO FOOD COOP,55.2,GroceryStore,2017,10
Sale,10/14/2017,TARGET        00013482,48.17,ShoppingOrEntertainment,2017,10
Sale,10/15/2017,WAL-MART #1907,7.37,Other,2017,10
Sale,10/15/2017,WALGREENS #7270,7.38,GroceryStore,2017,10
Sale,10/15/2017,PRICE CHOPPER #136,11.58,GroceryStore,2017,10
Sale,10/15/2017,BRATTLEBORO FOOD COOP,22.99,GroceryStore,2017,10
Sale,10/15/2017,T-BIRD MINI MART #32,21.86,GasOrCar,2017,10
Sale,10/16/2017,DUNKIN #304874 Q35,5.83,Coffee,2017,10
Sale,10/17/2017,DUNKIN #304874 Q35,2.92,Coffee,2017,10
Sale,10/18/2017,UBER   *TRIP ANZBR,6.82,GasOrCar,2017,10
Sale,10/18/2017,MINILUXE,70.8,Exercise,2017,10
Sale,10/18/2017,ERIE STEET GARAGE,24,GasOrCar,2017,10
Sale,10/18/2017,TST* FLOUR BAKERY + CAFE,5.08,Restaurants,2017,10
Sale,10/18/2017,UBER   *TRIP IPOVU,10.5,GasOrCar,2017,10
Sale,10/18/2017,TST* FLOUR BAKERY + CAFE,13.75,Restaurants,2017,10
Sale,10/19/2017,TST* FLOUR BAKERY + CAFE,2.41,Restaurants,2017,10
Sale,10/19/2017,WHOLEFDS NEW 10013,41.82,GroceryStore,2017,10
Sale,10/19/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,10
Sale,10/19/2017,TST* FLOUR BAKERY + CAFE,3.21,Restaurants,2017,10
Sale,10/19/2017,TST* FLOUR BAKERY + CAFE,3.74,Restaurants,2017,10
Sale,10/19/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,10
Sale,10/20/2017,DUNKIN #343072 Q35,3.05,Coffee,2017,10
Sale,10/20/2017,SQ *WOOBERRY - WORCESTER,5.91,Restaurants,2017,10
Sale,10/20/2017,MARRIOTT BOSTON F&amp;B,9,Other,2017,10
Sale,10/21/2017,BROOKFIELD ORCHARDS INC.,12.5,ShoppingOrEntertainment,2017,10
Sale,10/21/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,10
Sale,10/21/2017,#07624 SHAW'S,95.54,GroceryStore,2017,10
Sale,10/21/2017,Amazon Video On Demand,2.11,ShoppingOrEntertainment,2017,10
Sale,10/21/2017,MARRIOTT BOSTON NEWTON,211.11,Other,2017,10
Sale,10/21/2017,HOWE'S FARM,11.2,ShoppingOrEntertainment,2017,10
